149,2015,19:00:00,1,0,10.06,4.44,68,9.26,Mostly Clear,0,0
150,2015,23:00:00,3,2,9.63,7.15,85,7.41,Mostly Clear,0,1
151,2015,15:45:00,0,2,11.43,-0.94,42,4.45,Sunny,0,0
152,2015,18:00:00,1,0,7.04,-0.95,57,2.78,Mostly Sunny,0,0
153,2015,18:00:00,1,1,7.17,4.03,80,3.7,Mostly Sunny,1,1
154,2015,18:00:00,1,6,8.44,0.65,58,5.56,Sunny,1,1
155,2015,18:00:00,2,1,6.73,-1.16,57,6.83,Mostly Clear,1,0
156,2015,18:00:00,2,2,6.54,2.17,74,9.26,Mostly Clear,1,2
157,2015,20:30:00,3,1,5.43,1.41,75,9.26,Mostly Clear,1,1
158,2015,16:30:00,1,1,17.46,9.15,58,19.25,Mostly Sunny,1,1
159,2015,19:00:00,2,2,10.85,8.76,87,18.52,Rain Showers,1,2
160,2015,19:00:00,0,3,18.29,3.06,36,5.56,Mostly Sunny,0,3
161,2015,15:45:00,0,0,16.27,14.93,92,8.33,Isolated Showers,0,0
162,2015,18:00:00,2,2,19.57,13.13,66,5.56,Rain Showers,0,2
163,2015,18:00:00,0,1,15.22,14.7,97,11.11,Rain Showers,0,0
164,2015,18:00:00,0,2,15.75,13.9,89,6.48,Rain Showers,0,1
165,2015,18:00:00,3,1,15.57,14.4,93,6.48,Rain Showers,1,1
166,2015,18:00:00,3,0,15.45,9.45,67,11.59,Isolated Showers,2,0
167,2015,18:00:00,1,5,15.89,12.93,83,10.56,Isolated Showers,1,4
168,2015,20:30:00,3,0,15.69,15,96,5.56,Rain Showers,0,0
169,2015,19:00:00,2,6,11.22,9.24,88,11.02,Rain Showers,2,3
170,2015,23:00:00,1,0,15.67,15.18,97,20.38,Rain Showers,1,0
171,2015,18:00:00,2,1,9.42,9.08,98,8.33,Scattered Showers,0,0
172,2015,18:00:00,0,1,8.73,8.22,97,11.11,Scattered Showers,0,0
173,2015,18:00:00,1,2,12.2,11,92,14.82,Isolated Showers,0,1
174,2015,18:00:00,1,0,11.11,11.11,100,6.93,Scattered Showers,0,0
175,2015,18:00:00,2,0,8.91,7.97,94,7.41,Isolated Showers,1,0
176,2015,20:30:00,1,2,10.74,9.59,93,12.04,Scattered Showers,1,2
177,2015,16:00:00,0,3,8.16,6.32,88,12.96,Partly Cloudy,0,1
178,2015,18:05:00,5,1,9.33,6.13,80,10.19,Rain Showers,3,1
179,2015,18:05:00,0,0,9.42,8.22,92,12.04,Rain Showers,0,0
180,2015,20:15:00,1,1,8.91,0.32,55,12.46,Mostly Cloudy,0,0
188,2015,17:30:00,2,6,7.71,6.29,91,12.96,Partly Cloudy,1,1
189,2015,20:00:00,0,2,7.77,2.88,71,18.52,Rain Showers,0,0
190,2015,00:00:00,1,3,5.08,1.63,78,4.23,Mostly Cloudy,0,0
191,2015,16:45:00,1,0,21.83,15.47,67,12.96,Partly Cloudy,0,0
192,2015,19:00:00,1,2,18.35,12.56,69,5.56,Rain Showers,0,0
193,2015,19:00:00,0,2,15.7,12.66,82,17.23,Rain Showers,0,1
194,2015,19:00:00,0,1,23.16,11.19,47,10.9,Rain Showers,0,1
195,2015,19:00:00,1,1,23.32,10.02,43,6.48,Mostly Cloudy,1,2
196,2015,19:00:00,1,0,17.52,11.75,69,9.26,Cloudy,0,2
197,2015,21:30:00,0,1,14.88,14.42,97,14.82,Rain Showers,0,2
198,2015,17:30:00,0,0,19.87,9.18,50,6.08,Mostly Sunny,1,0
199,2015,20:00:00,1,1,18.62,14.12,75,1.85,Rain Showers,0,0
200,2015,20:00:00,2,1,15.65,14.59,93,9.5,Mostly Sunny,0,0
201,2015,16:45:00,2,1,21.71,10.41,49,9.26,Sunny,0,0
202,2015,19:00:00,2,2,17.56,12.24,71,11.45,Mostly Sunny,1,1
